chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
Senate,Committee on Energy and Natural Resources,SSEG,https://api.propublica.org/congress/v1/114/senate/committees/SSEG.json,2015-01-08,10:00:00,SD-366,Business meeting consider an original bill to approve the Keystone XL Pipeline.,n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/114/senate/committees/SLIN.json,2015-01-08,09:15:00,SH-219,A closed roundtable briefing on certain intelligence matters.,n/a,,
House,Committee on Rules,HSRU,https://api.propublica.org/congress/v1/115/house/committees/HSRU.json,2018-12-21,16:00:00,CAPITOL H-313,S. 2322Codifying Useful Regulatory Definitions Act,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108805,Hearing
House,Committee on Financial Services,HSBA,https://api.propublica.org/congress/v1/115/house/committees/HSBA.json,2018-12-21,09:00:00,RHOB 2128,A Legislative Proposal to Provide for a Sustainable Housing Finance System: The Bipartisan Housing Finance Reform Act of 2018,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108802,Hearing
House,Committee on Financial Services,HSBA,https://api.propublica.org/congress/v1/115/house/committees/HSBA.json,2018-12-20,10:00:00,RHOB 2128,The Peril of an Ignored National Debt,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108801,Hearing
House,Committee on Rules,HSRU,https://api.propublica.org/congress/v1/115/house/committees/HSRU.json,2018-12-19,23:00:00,CAPITOL H-313,"Senate amendment to H.R. 695Department of Defense Appropriations Act, 2018 [Further Additional Continuing Appropriations Act, 2019]",n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108804,Hearing
House,Committee on Rules,HSRU,https://api.propublica.org/congress/v1/115/house/committees/HSRU.json,2018-12-19,17:00:00,CAPITOL H-313,"Senate amendment to H.R. 88Shiloh National Military Park Boundary Adjustment and Parker&#39;s Crossroads Battlefield Designation Act (Rules Committee Print 115-87Showing the text of the Retirement, Savings, and Other Tax Relief Act of 2018 and the Taxpayer First Act of 2018.)",hr88-116,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108800,Hearing
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/115/senate/committees/SSJU.json,2018-12-19,14:30:00,SD-226,Hearings to examine a comparative look at competition law approaches to monopoly and abuse of dominance in the United States and European Union.,n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/115/senate/committees/SLIN.json,2018-12-19,14:30:00,SH-219,Closed business meeting to consider pending intelligence matters.,n/a,,
Senate,Committee on Veterans&#39; Affairs,SSVA,https://api.propublica.org/congress/v1/115/senate/committees/SSVA.json,2018-12-19,14:00:00,HVC-210,"A joint hearing with the House Committee on Veterans&#39; Affairs to examine VA MISSION Act implementation, focusing on tracking transformation.",n/a,,
Senate,Commission on Security and Cooperation in Europe,JCSE,https://api.propublica.org/congress/v1/115/senate/committees/JCSE.json,2018-12-17,15:00:00,SD-562,Hearings to examine religious freedom and government regulation of Islam.,n/a,,
Senate,Commission on Security and Cooperation in Europe,JCSE,https://api.propublica.org/congress/v1/115/senate/committees/JCSE.json,2018-12-14,10:30:00,SD-G11,To receive a briefing on best practices for keeping families safely together.,n/a,,
House,Committee on Foreign Affairs,HSFA,https://api.propublica.org/congress/v1/115/house/committees/HSFA.json,2018-12-13,14:00:00,RHOB 2172,Nigeria at a Crossroads: The Upcoming Elections,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108793,Hearing
Senate,Committee on Foreign Relations,SSFR,https://api.propublica.org/congress/v1/115/senate/committees/SSFR.json,2018-12-13,10:00:00,S-116,"Business meeting to consider the nominations of John Barsa, of Florida, to be an Assistant Administrator, and Bonnie Glick, of Maryland, to be Deputy Administrator, both of the United States Agency for International Development, and R. Clarke Cooper, of Florida, to be an Assistant Secretary (Political-Military Affairs), Christopher Paul Henzel, of Virginia, to be Ambassador to the Republic of Yemen, Michael S. Klecheski, of New York, to be Ambassador to the Republic of Mongolia, Sarah-Ann Lynch, of Maryland, to be Ambassador to the Co-operative Republic of Guyana, Matthew John Matthews, of Virginia, to be Ambassador to Brunei Darussalam, Carol Z. Perez, of Virginia, to be Director General of the Foreign Service, David Schenker, of New Jersey, to be an Assistant Secretary (Near Eastern Affairs), Lynne M. Tracy, of Ohio, to be Ambassador to the Republic of Armenia, Earle D. Litzenberger, of California, to be Ambassador to the Republic of Azerbaijan, Kyle McCarter, of Illinois, to be Ambassador to the Republic of Kenya, and Arthur B. Culvahouse, Jr., of Tennessee, to be Ambassador to the Commonwealth of Australia, and a routine list in the Foreign Service, all of the Department of State.",n/a,,
Senate,Committee on Finance,SSFI,https://api.propublica.org/congress/v1/115/senate/committees/SSFI.json,2018-12-13,00:00:00,TBA,"Business meeting to consider the nomination of Courtney Dunbar Jones, of Virginia, to be a Judge of the United States Tax Court.",n/a,,
House,Committee on Armed Services,HSAS,https://api.propublica.org/congress/v1/115/house/committees/HSAS.json,2018-12-12,15:30:00,RHOB 2118,Security Clearance Processing Status Report,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108794,Hearing
Senate,Committee on Indian Affairs,SLIA,https://api.propublica.org/congress/v1/115/senate/committees/SLIA.json,2018-12-12,14:30:00,SD-628,"An oversight hearing to examine the missing and murdered, focusing on confronting the silent crisis in Indian country.",n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json,2018-12-12,14:30:00,SVC-217,Closed hearings to examine United States force posture in the Indo-Pacific region.,n/a,,
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/115/senate/committees/SSJU.json,2018-12-12,14:30:00,SD-226,Hearings to examine transnational cartels and border security.,n/a,,
Senate,Select Committee on Intelligence,SLIN,https://api.propublica.org/congress/v1/115/senate/committees/SLIN.json,2018-12-12,14:30:00,SH-219,To receive a closed briefing on certain intelligence matters.,n/a,,
